P06844	PF02269
P34087	PF03876
P41834	PF10496
P40532	PF12716
Q06628	PF10033
Q00402	PF00169
P81449	PF05680
P40527	PF13246
P40527	PF00122
P40527	PF16212
P40527	PF16209
P17065	PF06428
P17536	PF00261
P32913	PF00787
P13434	PF00808
Q06169	PF06398
P40064	PF03177
P40064	PF08801
Q02774	PF08229
P22149	PF08731
Q04372	PF04177
Q04779	PF00628
Q05919	PF17649
P32332	PF00153
P33775	PF02815
P33775	PF02366
P33775	PF16192
P32893	PF12735
P07213	PF00515
P07213	PF13432
P07213	PF14559
P38110	PF02260
P38110	PF00454
P38110	PF11640
P34216	PF12763
P34216	PF00627
P47076	PF03874
P53845	PF03878
P39103	PF14880
Q12745	PF08314
Q03081	PF00096
Q08746	PF04939
P09064	PF01873
Q07878	PF12624
Q07878	PF21679
Q07878	PF16909
Q07878	PF16908
Q07878	PF16910
Q07878	PF06650
Q06224	PF10996
Q06224	PF11718
Q06224	PF00753
Q06224	PF07521
P34253	PF08433
P38806	PF12998
P38806	PF00628
P02294	PF00125
Q03406	PF05916
Q03406	PF16922
Q6Q546	PF00240
P40010	PF08701
P40010	PF01926
P32347	PF01208
P53833	PF08228
Q03530	PF02517
P40078	PF01201
P40352	PF00271
P40352	PF00176
P20485	PF01633
P20485	PF04428
P23292	PF00069
Q06623	PF11496
P19262	PF00198
P19262	PF00364
Q04031	PF09805
P57743	PF01423
P20435	PF01192
Q12161	PF15227
Q12161	PF13445
P42841	PF00400
P39730	PF00009
P39730	PF14578
P39730	PF11987
P48412	PF03467
P53731	PF04045
P32345	PF00149
P06786	PF00204
P06786	PF00521
P06786	PF02518
P06786	PF01751
P06786	PF16898
P33334	PF08082
P33334	PF08083
P33334	PF08084
P33334	PF12134
P33334	PF10598
P33334	PF10597
P33334	PF10596
P53276	PF10395
P53276	PF22542
P41800	PF10296
Q08749	PF05328
P38203	PF01423
Q08683	PF12862
P33759	PF00333
P33759	PF03719
P14242	PF01119
P14242	PF08676
P53292	PF12298
P32609	PF01363
P32609	PF11464
P06839	PF06733
P06839	PF06777
P06839	PF13307
P18898	PF00432
P16140	PF00006
P16140	PF02874
P16140	PF22919
P38604	PF13243
P38604	PF13249
P39940	PF00168
P39940	PF00632
P39940	PF00397
P33202	PF00632
Q02208	PF10407
P32526	PF08580
Q07528	PF00787
Q06337	PF07529
Q06337	PF13921
P48563	PF16213
P48563	PF16206
P48563	PF12783
Q03880	PF08636
P41546	PF07716
P40151	PF00004
P40151	PF16193
P40151	PF12002
Q08273	PF12678
Q03148	PF01680
P07250	PF03770
P53145	PF01926
P10823	PF00503
P38250	PF04547
P80967	PF10642
Q12146	PF22466
Q12146	PF05916
P49334	PF04281
P38803	PF12333
Q06511	PF07890
P41832	PF06367
P41832	PF06371
P41832	PF02181
P53878	PF00106
P32602	PF14938
P39936	PF12152
P39936	PF02854
Q12045	PF16796
P53256	PF01138
P53256	PF03725
P53330	PF09510
Q07915	PF01246
Q99383	PF00076
Q99383	PF16367
P33313	PF00515
P33313	PF18972
P00925	PF00113
P00925	PF03952
P00401	PF00115
P33201	PF00466
P33201	PF17777
Q99181	PF00076
Q12004	PF03850
P38263	PF09783
Q08773	PF09110
Q08773	PF00271
Q08773	PF09111
Q08773	PF00176
P36022	PF12774
P36022	PF12775
P36022	PF12780
P36022	PF12781
P36022	PF18198
P36022	PF08385
P36022	PF08393
P36022	PF21499
P36022	PF03028
P36022	PF22597
P36022	PF12777
P38782	PF04934
Q04120	PF10417
Q04120	PF00578
P47104	PF12234
P25349	PF00258
P32571	PF00581
P32571	PF00443
P32863	PF00271
P32863	PF08658
P32863	PF00176
P41277	PF00702
Q12241	PF05739
P34244	PF00069
P05375	PF04191
P48581	PF02144
P38164	PF21719
P38164	PF17034
P40485	PF20400
P40485	PF00169
P38428	PF02845
P38428	PF18499
P36108	PF03357
Q06263	PF04652
Q06263	PF18097
P39925	PF00004
P39925	PF17862
P39925	PF06480
P39925	PF01434
P0CX48	PF00366
P0CX48	PF16205
P21304	PF00400
P43124	PF15412
P43124	PF08743
Q05022	PF00575
Q05022	PF05843
P36076	PF02441
P38123	PF00400
P24814	PF00646
P39735	PF11561
P38987	PF00071
Q12114	PF00533
Q12114	PF16892
Q12114	PF16893
P51862	PF00780
P51862	PF00610
P51862	PF15405
P51862	PF00621
P40075	PF00635
P53088	PF01171
P53088	PF16503
P40362	PF00400
Q04003	PF15460
P53946	PF00022
Q05791	PF07065
Q03834	PF01624
Q03834	PF05188
Q03834	PF05192
Q03834	PF05190
Q03834	PF00488
P38822	PF00611
P38822	PF00018
P38822	PF14604
P15873	PF02747
P15873	PF00705
P38072	PF02630
P39958	PF00996
Q12038	PF08596
Q07508	PF03194
P38873	PF02985
P38873	PF14538
P32387	PF00276
P20457	PF04104
P54784	PF00004
P54784	PF17872
P54784	PF01426
P54784	PF21312
P06102	PF04153
P06102	PF04065
P32505	PF11517
P32505	PF21803
P32505	PF18260
P32505	PF14608
P32505	PF21457
P36095	PF03357
P38555	PF00071
P23644	PF01459
P30283	PF02984
P30283	PF00134
P19812	PF18995
P19812	PF22960
P19812	PF02207
P40367	PF01663
P40367	PF19316
P24871	PF02984
P24871	PF00134
P16522	PF04049
P16522	PF13181
P21672	PF03477
P21672	PF02867
P21672	PF00317
P24719	PF00498
P24719	PF00069
P07257	PF00675
P53378	PF00091
P53378	PF03953
P47025	PF11542
P47025	PF00400
P38960	PF10451
P38960	PF12659
P50110	PF10568
P50110	PF11801
Q03370	PF06398
P38880	PF08118
Q02574	PF04005
P00899	PF04715
P00899	PF00425
P53840	PF04821
P0CX41	PF00238
P0CX82	PF01280
Q08962	PF03657
Q08962	PF17833
P38251	PF13177
P38251	PF21960
P38251	PF22534
P46674	PF12209
P46674	PF03399
P38993	PF00394
P38993	PF07731
P38993	PF07732
P24280	PF00650
P24280	PF03765
Q01080	PF06870
P07260	PF01652
P18409	PF12519
P32565	PF13646
P32565	PF01851
P32565	PF18004
P32565	PF21505
P05748	PF00827
Q12690	PF01294
P53829	PF04078
P47074	PF08311
P47074	PF08171
P35206	PF16965
P20484	PF00400
P31380	PF00271
P31380	PF00176
Q02793	PF00400
P53874	PF00443
P39993	PF01369
P39993	PF12783
P33338	PF07651
P33338	PF01608
P34227	PF10417
P34227	PF00578
P01123	PF00071
P25628	PF03062
P48561	PF01909
P48561	PF03828
P34223	PF08059
P34223	PF14555
P34223	PF00789
P22516	PF06733
P22516	PF13307
P26448	PF00566
P21827	PF00415
P21827	PF13540
P35734	PF08655
P38260	PF08609
Q05568	PF04757
Q05568	PF13639
Q06488	PF01426
Q06488	PF00439
P41814	PF04189
P06634	PF00270
P06634	PF00271
P32841	PF03525
Q12447	PF00583
P46956	PF11124
Q06152	PF13821
Q06152	PF01585
Q04228	PF14555
P38682	PF01412
P18759	PF00004
P18759	PF17862
P18759	PF02933
Q06078	PF04192
Q06078	PF00400
P32529	PF02150
P32529	PF01096
P03069	PF07716
Q12415	PF00300
Q12415	PF10419
Q12468	PF01398
P40066	PF00400
Q12271	PF02383
P54000	PF02229
P40302	PF00227
P40302	PF10584
P25591	PF17321
Q12445	PF08058
Q02959	PF00850
P28000	PF13656
P38990	PF00069
Q12234	PF10375
P48836	PF03179
P54861	PF01031
P54861	PF00350
P54861	PF02212
Q12092	PF18388
P25558	PF12015
Q00684	PF00782
Q00684	PF14671
P38063	PF13793
P38063	PF14572
P17260	PF17056
P36152	PF05093
P36152	PF16803
P15303	PF00626
P15303	PF08033
P15303	PF04815
P15303	PF04811
P15303	PF04810
P20449	PF00270
P20449	PF00271
P40484	PF03637
Q01590	PF05739
Q01590	PF11416
Q12405	PF12697
P89105	PF13181
P38193	PF09184
P40693	PF00327
P13856	PF00071
P39929	PF03357
Q00245	PF00071
P40955	PF09295
P46672	PF21972
P46672	PF01588
Q06708	PF02985
Q06708	PF11916
Q12080	PF07767
Q07979	PF00439
Q00916	PF00076
Q00916	PF12220
P46669	PF17875
P46669	PF03876
P32337	PF13513
P32337	PF18808
P32337	PF18816
P32337	PF18829
P32628	PF00627
P32628	PF00240
P32628	PF09280
P47172	PF09814
Q03768	PF05773
P36104	PF00400
P36006	PF00063
P36006	PF06017
P36006	PF00018
Q99314	PF03366
Q12341	PF00583
Q12341	PF21184
Q12341	PF10394
P40047	PF00171
P47771	PF00171
P39678	PF00023
P39678	PF04383
P19955	PF10937
P32855	PF20652
P32855	PF04048
Q06678	PF01161
P39966	PF00481
P46954	PF00172
Q04338	PF05008
Q04338	PF12352
P38927	PF02301
P23202	PF00043
P23202	PF02798
P23202	PF13409
P00445	PF00080
P11655	PF00400
Q03020	PF01592
P34072	PF08550
P32583	PF05022
P39108	PF00400
P53038	PF10193
P39731	PF05859
P21147	PF00173
P21147	PF00487
P29340	PF00179
Q02794	PF17235
P40562	PF00271
P40562	PF04851
P06843	PF08243
Q07896	PF03914
Q07896	PF07540
P36024	PF02441
Q12255	PF09426
Q12255	PF00957
P25385	PF12352
P32585	PF09637
Q06102	PF00642
Q06102	PF14608
P23724	PF00227
Q02630	PF04096
Q02630	PF13634
P20437	PF00134
Q03441	PF02582
Q12102	PF13299
Q12102	PF16661
P40348	PF00004
P40348	PF21960
P40348	PF08542
O14467	PF01381
O14467	PF08523
P07143	PF02167
P00817	PF00719
P20967	PF16078
P20967	PF00676
P20967	PF16870
P20967	PF02779
P32774	PF02751
P32774	PF02268
Q05933	PF04062
P51998	PF00573
P40072	PF00097
P53297	PF06741
P53297	PF14438
P08679	PF00285
P27999	PF02150
P27999	PF01096
P39723	PF12808
P47170	PF00610
P47170	PF19418
P47170	PF12257
P22336	PF16900
P22336	PF08646
P22336	PF01336
P47037	PF06470
P47037	PF02463
P48837	PF13634
P48837	PF13874
Q12236	PF00069
Q03769	PF01417
P41813	PF00498
P41813	PF00250
P36094	PF11544
P40487	PF01866
Q04049	PF00817
Q04049	PF11799
P41735	PF03232
Q06217	PF01423
Q05787	PF08238
Q05040	PF08232
P25342	PF00735
Q03048	PF00241
P20447	PF00270
P20447	PF00271
P25357	PF00249
P39990	PF01248
Q06103	PF01399
Q06103	PF10602
Q06103	PF21154
P53043	PF00149
P53043	PF08321
P32833	PF04084
Q12156	PF00241
Q04264	PF20168
P32794	PF00004
P32794	PF17862
Q04437	PF02735
Q04437	PF03731
Q04969	PF06703
Q99344	PF00899
P34078	PF04180
P33296	PF00179
Q04439	PF00063
Q04439	PF06017
Q04439	PF00018
P36053	PF05129
P13663	PF01118
P13663	PF02774
P41697	PF03915
Q03940	PF06068
Q03940	PF17856
Q12018	PF00888
Q12018	PF10557
P32600	PF02259
P32600	PF02260
P32600	PF08771
P32600	PF11865
P32600	PF00454
P14306	PF01161
P14907	PF05064
P53437	PF10680
P33311	PF00664
P33311	PF00005
P38353	PF10559
P38353	PF00344
Q03782	PF19097
P53742	PF01926
P53742	PF08153
P38291	PF12328
P05749	PF01776
P38759	PF12850
P38624	PF00227
Q07442	PF17035
Q07442	PF00439
P13186	PF02149
P13186	PF00069
P34233	PF00320
P33895	PF03800
P53859	PF21551
P53859	PF10447
P32354	PF22379
P32354	PF09329
Q08236	PF16978
Q08236	PF16979
P38724	PF07690
P46677	PF12157
P46677	PF15288
P25299	PF14304
P25299	PF00076
P06367	PF00411
P0CX39	PF01201
P43558	PF02338
P43558	PF21403
P32490	PF00069
P04819	PF04679
P04819	PF01068
P04819	PF04675
P27637	PF00018
P32895	PF13793
P32895	PF14572
Q12028	PF01602
Q12028	PF02883
P50276	PF13520
Q08732	PF00069
P53337	PF02077
P0CX23	PF01775
P0CX49	PF17135
Q07418	PF04614
P53894	PF00069
Q07913	PF07574
Q07913	PF08746
Q03497	PF00786
Q03497	PF00069
Q12019	PF07728
Q12019	PF17865
Q12019	PF17867
Q12019	PF21108
P38266	PF17096
P39104	PF00454
P39104	PF21245
P39104	PF11522
P52910	PF16177
P52910	PF00501
P52910	PF13193
Q06106	PF00076
P29478	PF01922
Q99177	PF04938
Q00416	PF13086
Q00416	PF13087
Q00416	PF12726
P32521	PF08226
P32521	PF12763
P38323	PF07724
P38323	PF10431
Q12406	PF00022
P81450	PF04911
P17214	PF10374
P17214	PF10373
P47123	PF04603
P25386	PF04871
P25386	PF04869
P40465	PF16834
P10863	PF00399
P10863	PF00660
Q02821	PF00514
Q02821	PF16186
Q02821	PF01749
P53148	PF18210
P53148	PF08317
Q02733	PF00890
Q02733	PF12831
Q02733	PF00070
Q02733	PF02852
Q07872	PF01417
Q12216	PF14324
Q12216	PF02037
Q12216	PF02891
Q12460	PF01798
Q12460	PF08156
P32905	PF00318
P38632	PF22326
P38632	PF11789
Q03532	PF00270
Q03532	PF13959
Q03532	PF00271
P25382	PF08154
P25382	PF00400
P28005	PF01900
Q12136	PF09368
Q12136	PF04000
P13185	PF02149
P13185	PF00069
P38348	PF18794
P38348	PF18795
P39524	PF13246
P39524	PF16212
P39524	PF16209
P28743	PF00225
P38853	PF13415
P38853	PF13854
P22936	PF01261
P17106	PF00010
Q99247	PF11816
Q99247	PF00400
Q12395	PF03556
Q12395	PF22566
Q12318	PF16836
P26754	PF08784
P26754	PF01336
Q03691	PF10681
P40992	PF20645
P40992	PF20644
P40992	PF11781
P52891	PF04121
P53854	PF10197
P53854	PF12542
P19454	PF00069
P21374	PF06246
P35817	PF17035
P35817	PF00439
P40038	PF08613
Q06679	PF00400
P11484	PF00012
P12385	PF03463
P12385	PF03464
P12385	PF03465
P04449	PF01246
Q07657	PF00735
P31116	PF00742
P31116	PF03447
P08964	PF00063
P42838	PF03381
P18494	PF00320
Q05050	PF12757
P32610	PF01813
P23594	PF00149
P33749	PF00096
P19880	PF00170
P19880	PF08601
P32944	PF00069
P32843	PF10443
P32843	PF00076
P35056	PF00515
P35056	PF13432
P12684	PF00368
P12684	PF13323
P12684	PF12349
P38283	PF03941
P53201	PF16282
P22139	PF01194
P32074	PF01602
P32074	PF16381
P32074	PF08752
Q06213	PF09748
P36041	PF20566
P27466	PF00069
P47136	PF00169
P53129	PF19036
P53129	PF19037
P53129	PF19038
P17255	PF00006
P17255	PF02874
P17255	PF16886
P17255	PF22919
P17255	PF05204
P17255	PF05203
P39928	PF02518
P39928	PF00512
P39928	PF00072
P40030	PF03694
P34218	PF01853
P34218	PF17772
P53037	PF00168
P53037	PF02666
P38991	PF00069
P36135	PF03856
P07284	PF02403
P07284	PF00587
P40578	PF00023
P40578	PF01833
P30822	PF08767
P30822	PF18777
P30822	PF18784
P30822	PF18787
P30822	PF03810
P30822	PF08389
Q12315	PF07817
P40477	PF16755
P53221	PF00467
P53221	PF16906
P00958	PF19303
P00958	PF09635
P00958	PF09334
Q02931	PF00400
P38852	PF02213
P18480	PF04855
Q08492	PF08297
P39939	PF01283
Q3E754	PF01249
P53250	PF00241
Q06389	PF00036
Q06151	PF05652
Q06151	PF11969
P53599	PF00069
P17555	PF08603
P17555	PF21938
P17555	PF01213
P28495	PF01267
P25491	PF00226
P25491	PF01556
P25491	PF00684
P33767	PF03345
P38077	PF00231
P20438	PF00134
Q04651	PF07970
Q04651	PF13850
Q06525	PF01846
Q06525	PF00397
Q04272	PF03357
P38130	PF01793
P14922	PF00515
P14922	PF13432
P53604	PF14477
P53604	PF14475
P13045	PF10509
P13045	PF08544
P13045	PF00288
P43572	PF10513
P14832	PF00160
P16603	PF00667
P16603	PF00258
P16603	PF00175
P40856	PF04499
P53632	PF01909
P53632	PF03828
P25359	PF01138
P14741	PF01008
P46681	PF02913
P46681	PF01565
P31334	PF00297
P69851	PF08650
P40559	PF02383
P33399	PF05383
P33399	PF00076
P33315	PF02780
P33315	PF00456
P33315	PF02779
P53252	PF13805
P23287	PF00149
P47029	PF02752
P47029	PF00339
P32328	PF00069
P32328	PF00433
Q06178	PF01467
P38768	PF08190
P38768	PF18482
P40565	PF00076
P17883	PF18833
P33760	PF00004
P33760	PF17862
Q04949	PF05783
Q05775	PF08597
P14693	PF10806
P38805	PF04427
P38827	PF11764
P38827	PF00856
P38827	PF21569
P38827	PF11767
P32629	PF03452
P43573	PF12927
P43573	PF02996
Q08235	PF04427
P33441	PF05615
Q03218	PF01545
P04802	PF00152
P04802	PF01336
P35181	PF01217
Q12461	PF03095
P25303	PF00226
P25303	PF01556
P25303	PF00684
P37366	PF16899
P37366	PF00134
Q06336	PF02883
Q06336	PF03127
Q06336	PF18308
Q06336	PF00790
P53199	PF01073
P32776	PF03909
P32776	PF08567
Q04410	PF04495
P38932	PF00995
P22217	PF00085
P22803	PF00085
P15705	PF17830
P15705	PF00515
P15705	PF13432
P54867	PF01822
Q05543	PF04818
P40339	PF00004
P40339	PF08542
P46946	PF08573
P07273	PF08711
P07273	PF01096
P07273	PF07500
P47134	PF00653
P42949	PF03656
P53846	PF09811
P48510	PF00240
P32364	PF00225
P47822	PF11221
Q03921	PF04118
Q04067	PF12353
Q04067	PF00076
Q08873	PF00307
P33411	PF02840
P02557	PF00091
P02557	PF03953
P22203	PF01991
P38869	PF04148
Q12510	PF00400
P41734	PF00657
Q06163	PF00078
Q06163	PF12009
P40561	PF00076
Q02199	PF13634
P16649	PF08581
P16649	PF00400
P38713	PF01237
P38713	PF15409
Q06205	PF00254
Q06205	PF17800
Q02629	PF04096
Q02629	PF13634
P39923	PF06218
P28320	PF04502
P36131	PF08657
Q06551	PF01529
Q03254	PF00533
Q03254	PF03031
P47061	PF16854
P47061	PF04100
P53919	PF04410
Q06168	PF04855
P32502	PF01008
P40303	PF00227
P40303	PF10584
P36000	PF01602
Q12476	PF21759
Q12476	PF00098
Q12343	PF10018
P36520	PF00828
P89114	PF07061
Q03390	PF03357
P21954	PF00180
P53063	PF08652
Q03503	PF00583
P48361	PF20400
P48361	PF20399
P39007	PF02516
P39007	PF21436
P33323	PF17378
Q04673	PF07975
Q04673	PF04056
P09201	PF00316
P09201	PF18913
P38241	PF21369
Q03718	PF08691
P50108	PF05637
P33309	PF03463
P33309	PF03464
P33309	PF03465
P25617	PF10180
P32617	PF08265
P38784	PF21730
P53124	PF08613
Q06706	PF04762
P40208	PF10607
P06704	PF00036
P29461	PF00102
P21691	PF11603
P40533	PF00149
Q06108	PF20400
Q06108	PF20399
Q12233	PF04718
P29055	PF00382
P29055	PF08271
Q07350	PF16835
Q07350	PF12874
P00572	PF02223
Q06218	PF00270
Q06218	PF00271
P39520	PF10380
Q04373	PF08144
Q04373	PF00806
P43601	PF21032
P43601	PF00400
P40016	PF01399
P40016	PF08375
Q04601	PF12896
P40494	PF00069
P18852	PF00631
P10614	PF00067
Q06096	PF20662
Q06096	PF08318
Q06096	PF20663
P38523	PF01025
P0CX29	PF00164
P31386	PF13540
P53127	PF01426
P53127	PF00628
P53127	PF13832
P38862	PF16420
P38862	PF00899
Q04226	PF04719
P53044	PF03152
P25364	PF00250
P32599	PF00307
P09932	PF05204
P09932	PF05203
P15731	PF00179
P25045	PF00155
P53115	PF13892
P53115	PF00271
P53115	PF00176
Q03195	PF00005
Q03195	PF00037
Q03195	PF04068
P33203	PF01846
P33203	PF00397
Q12440	PF08672
Q12440	PF00888
P22137	PF00637
P22137	PF09268
P22137	PF13838
P22137	PF01394
Q07458	PF08642
Q06505	PF08711
P39111	PF01990
P41805	PF00252
P12868	PF12451
P50076	PF04922
P36075	PF02845
P13712	PF12265
P13712	PF00400
P39967	PF00443
P38292	PF06398
P32329	PF00026
P52920	PF10609
P24867	PF00134
P38351	PF03985
P32356	PF01204
P32356	PF07492
Q03630	PF04099
P50874	PF13191
P50874	PF14630
P50874	PF21639
P32787	PF06420
Q06208	PF21449
Q06208	PF21450
Q12125	PF04190
P40581	PF00255
Q08444	PF08772
Q08444	PF17146
P33401	PF02878
P33401	PF02879
P33401	PF02880
P43612	PF04499
Q12056	PF01592
P43583	PF16507
P43583	PF16547
P43583	PF11919
P12962	PF17052
P20424	PF00448
P20424	PF02881
P20424	PF02978
P47122	PF03029
P41812	PF06978
P41812	PF08170
Q06704	PF01465
P46973	PF18268
P46973	PF04438
Q04344	PF01230
P20459	PF07541
P20459	PF00575
Q04062	PF01399
Q04062	PF22037
Q04062	PF18261
P39729	PF01926
P39729	PF16897
P39729	PF02824
P00427	PF02284
P51996	PF00071
P32839	PF00004
P32839	PF08740
Q03723	PF04756
P38166	PF04178
P00360	PF02800
P00360	PF00044
Q00055	PF07479
Q00055	PF01210
P14724	PF10471
P08678	PF08509
P08678	PF21187
P08678	PF00211
P08678	PF13855
P08678	PF00481
P47142	PF05871
P05085	PF11951
P05085	PF00172
Q00578	PF16203
Q00578	PF13625
Q00578	PF04851
P46673	PF07575
P25301	PF08423
P05317	PF00428
P05317	PF00466
P05317	PF17777
P17121	PF00620
Q08217	PF00069
Q12417	PF00400
Q08199	PF16782
Q08490	PF07557
Q08490	PF07558
P24870	PF02984
P24870	PF00134
P53271	PF22431
P53271	PF06148
P53125	PF02791
P53125	PF10537
P53125	PF15613
P40335	PF03643
P38165	PF00010
Q03954	PF08287
P38615	PF00069
P53187	PF07106
P0CX34	PF04758
Q12208	PF09749
P38344	PF12756
P10962	PF04874
P10962	PF01778
P38922	PF00076
P38792	PF14382
P38792	PF15985
P38792	PF21266
Q07963	PF18995
Q07963	PF22960
Q07963	PF02207
P32497	PF05470
P32497	PF01399
P47176	PF01063
Q12449	PF09229
Q12449	PF08327
P25582	PF11861
P25582	PF01728
P25582	PF07780
P32601	PF04421
P28817	PF16113
P41833	PF05063
Q05583	PF00400
P46971	PF02815
P46971	PF02366
P46971	PF16192
P33302	PF01061
P33302	PF00005
P33302	PF14510
P33302	PF06422
P11972	PF00610
P11972	PF00615
P34237	PF08172
P22515	PF16191
P22515	PF16190
P22515	PF09358
P22515	PF00899
P22515	PF10585
P21957	PF08618
Q04432	PF01965
P52919	PF08537
P25638	PF14559
P50875	PF12090
Q04431	PF17097
P40571	PF04032
P00330	PF08240
P00330	PF00107
Q02256	PF00782
P43609	PF00249
P43609	PF04433
P43609	PF16495
P43609	PF00569
Q06132	PF02847
Q06132	PF02854
Q04305	PF09384
Q04305	PF00400
Q07381	PF08142
Q07381	PF04950
Q07381	PF22298
Q12206	PF00400
Q04500	PF04615
O14464	PF00444
P53118	PF05057
Q12224	PF00319
Q01448	PF08729
P11938	PF16589
P11938	PF00249
P11938	PF09197
P11938	PF11626
Q05080	PF00611
P43545	PF01680
P50077	PF00520
P32468	PF00735
P0CX43	PF00687
P38810	PF00626
P38810	PF08033
P38810	PF04815
P38810	PF04811
P38810	PF04810
P0CX38	PF01092
P37020	PF00571
P37020	PF00654
P19659	PF18535
P19659	PF16987
P19659	PF05397
P38181	PF03177
P38181	PF08801
P34730	PF00244
P32864	PF00996
P39985	PF04931
Q3E7C1	PF06331
P40090	PF10345
P39984	PF12265
P39984	PF00400
P53738	PF03966
P40515	PF14853
P40515	PF14852
P38691	PF00069
P23561	PF00069
P23561	PF14847
P23561	PF07647
P38356	PF10176
P40959	PF00787
P40959	PF19566
P53935	PF13945
P25443	PF00333
P25443	PF03719
P26783	PF00177
P32892	PF00270
P32892	PF00271
P36159	PF13691
P39937	PF01302
P39937	PF13516
P35210	PF00023
P35210	PF01833
P53617	PF04818
P53617	PF21380
P53617	PF00076
P20134	PF00447
P48362	PF04063
P48362	PF04064
Q06449	PF00018
P23301	PF01287
P23301	PF21485
P38742	PF03666
P30620	PF07522
P25567	PF05383
P38699	PF04082
P38699	PF00172
P38848	PF06398
P0CY11	PF00046
P53685	PF04574
P53685	PF02146
P40963	PF01853
P35718	PF08292
P35718	PF03876
P21524	PF03477
P21524	PF02867
P21524	PF00317
P20095	PF00270
P20095	PF21010
P20095	PF04408
P20095	PF00271
P20095	PF07717
P28274	PF06418
P28274	PF00117
P38264	PF10032
Q12280	PF00307
Q12280	PF00612
Q12280	PF00616
Q12280	PF03836
P27472	PF05693
Q07879	PF03987
P32464	PF08569
P02407	PF00833
P06105	PF00013
P06105	PF22952
P33419	PF17082
P43587	PF07491
Q06338	PF13862
P38352	PF13540
P36013	PF00390
P36013	PF03949
P53917	PF11882
P53917	PF07923
P39704	PF01105
P38310	PF03239
Q04377	PF09798
Q12514	PF04153
Q12514	PF04065
P39077	PF00118
P47166	PF12329
P47166	PF12325
P32367	PF09734
P32367	PF17682
P06787	PF13499
P23179	PF21180
P23179	PF04406
P32380	PF18520
P07248	PF00096
P07261	PF12550
P39719	PF06011
P39719	PF14558
Q03835	PF00462
Q03835	PF00085
Q04175	PF08506
Q04175	PF03810
Q02521	PF12656
P10363	PF01896
P38795	PF00795
P38795	PF02540
Q04311	PF18826
P00420	PF00510
P39720	PF00172
P54790	PF07034
P54790	PF18137
P47026	PF06423
P38315	PF08568
P38912	PF01176
P80667	PF04088
P80667	PF00018
P34232	PF10429
Q12127	PF13928
Q07084	PF00072
P07280	PF01090
P34756	PF00118
P34756	PF01363
P34756	PF01504
Q12229	PF00789
P36146	PF04031
Q00776	PF00928
Q00776	PF01217
P27636	PF00069
P53941	PF04427
P33339	PF13432
P33339	PF13181
P19145	PF00324
Q04549	PF00022
P0CH08	PF01020
P0CH08	PF00240
Q12287	PF05051
P46965	PF06645
P40422	PF03604
Q03973	PF00505
P53897	PF04667
P41807	PF11698
P41807	PF03224
Q03818	PF08614
P18239	PF00153
P08539	PF00503
P53688	PF02146
P38861	PF04981
P38861	PF21192
P38861	PF21193
Q04839	PF17331
P11746	PF00319
P54885	PF00171
P35193	PF12744
P37297	PF00613
P37297	PF00454
P37297	PF19274
P38989	PF06470
P38989	PF02463
P07283	PF03332
Q12380	PF20637
Q12380	PF20638
Q12380	PF04106
P25604	PF05743
P25604	PF09454
P00854	PF00119
Q06632	PF03178
Q12186	PF00013
Q12186	PF16275
Q12186	PF00098
Q03337	PF04051
P36096	PF12678
P38324	PF01541
P38324	PF21202
P38205	PF01189
P40468	PF14225
P40468	PF14228
P40468	PF14222
P38199	PF00013
P33297	PF00004
P33297	PF17862
P33297	PF16450
P17967	PF00085
P17967	PF13848
P35127	PF01088
P32582	PF00571
P32582	PF00291
Q04370	PF04757
P53847	PF11989
P53847	PF11988
P25368	PF17799
P25368	PF12923
P35735	PF10277
P0CX85	PF00831
P51402	PF01907
Q04225	PF12265
Q04225	PF00400
Q04307	PF02150
Q04307	PF01096
P32838	PF00149
P40513	PF02330
P39904	PF20655
P39904	PF04129
P12904	PF00571
P39531	PF07393
P23254	PF02780
P23254	PF00456
P23254	PF02779
P53830	PF00076
P33400	PF00096
P34217	PF00076
P40507	PF21759
P40507	PF00098
P27476	PF00076
P41895	PF05793
P53552	PF11262
P53552	PF11732
P53552	PF16134
P38961	PF05148
Q04947	PF02453
P10592	PF00012
Q12416	PF08528
P07274	PF00235
P47045	PF11711
Q06696	PF04157
Q06696	PF16988
Q06696	PF11605
P38132	PF00493
P38132	PF17855
P38132	PF14551
P38132	PF17207
P19735	PF06424
P05318	PF00428
P10961	PF00447
Q03290	PF06391
Q03290	PF17121
P23595	PF00149
Q04781	PF22958
Q04781	PF22999
Q04781	PF23009
Q04781	PF13639
P13365	PF00134
P25605	PF01842
P25605	PF10369
P22211	PF00069
P39078	PF00118
P12687	PF01016
P12687	PF18471
P53921	PF01632
P34221	PF00481
P35729	PF22114
P53049	PF00664
P53049	PF00005
P38996	PF00076
P10659	PF02773
P10659	PF02772
P10659	PF00438
P24384	PF00270
P24384	PF21010
P24384	PF04408
P24384	PF00271
P24384	PF07717
P24384	PF00575
P53629	PF03062
P49955	PF22646
Q12387	PF09797
Q03750	PF10406
P48415	PF12932
P48415	PF12931
P48415	PF12935
P25441	PF05132
P32524	PF12230
P32524	PF01805
P23394	PF00270
P23394	PF00271
P50942	PF03372
P50942	PF02383
P03965	PF02786
P03965	PF02787
P03965	PF02142
P32604	PF01591
P32604	PF00300
P38788	PF00012
Q03213	PF12550
P00410	PF00116
P00410	PF02790
P29056	PF07741
